transaction_id,transaction_amount,transaction_date,transaction_type,merchant_location,currency,merchant_id,merchant_category,payment_method,customer_id,customer_age,customer_gender,purchase_history,monthly_spending_avg,credit_limit,current_balance,ip_address,device_used,transaction_frequency,is_fraud
9193,1000.0,2024-01-20 18:42:28,online,New Jeffshire,GBP,41850,restaurants,chip,3316,,Female,12,431.96,3100,1420.48,171.33.29.41,mobile,9,1
23294,500.0,2024-01-04 06:10:17,online,Jesusfort,USD,37911,restaurants,magnetic_stripe,5135,29.0,Female,8,253.79,12579,19747.17,128.112.215.194,mobile,3,1
6562,,2024-01-08 19:12:10,online,Davidberg,USD,90833,groceries,contactless,6165,26.0,Male,11,206.69,10257,19783.53,38.173.7.55,desktop,7,0
20265,1430.5763559394243,2024-01-19 19:24:29,in_store,Port Emmaview,usd,23653,travel,contactless,2316,48.0,Female,2,1201.96,1222,16209.53,147.251.145.100,desktop,2,0
28120,185.2969561957235,2024-01-10 08:48:40,online,Moniquefort,USD,81478,electronics,chip,6274,,Female,13,512.5,14013,264.84,71.19.129.31,mobile,4,0
9699,7083.644874866001,2024-01-18 18:09:27,online,New Elizabeth,USD,99817,travel,contactless,2316,27.0,Female,7,627.81,2153,960.1,193.84.22.13,mobile,7,0
7753,178.337388250156,2024-01-03 12:02:46,withdrawal,Lake Lisatown,USD,37257,restaurants,chip,7282,41.0,Female,12,435.84,9680,14168.78,65.97.182.54,desktop,4,0
20481,,2024-01-01 13:24:47,online,Dicksonbury,US,36474,restaurants,chip,9391,18.0,Male,6,424.54,13963,18456.94,38.1.50.141,mobile,4,0
17216,1500.0,2024-01-23 04:58:57,online,Martinview,usd,48959,restaurants,chip,6182,47.0,Male,8,257.33,16451,2903.28,30.224.81.12,mobile,3,1
7683,1000.0,2024-01-14 14:58:42,online,Robinland,USD,97363,electronics,chip,5185,41.0,Male,6,555.26,16575,18501.3,58.138.147.82,mobile,5,1
18163,983.6490425323454,2024-01-09 02:05:18,in_store,Beanton,EUR,18760,restaurants,contactless,9676,24.0,Male,9,501.56,13519,,214.171.150.151,mobile,2,0
11450,1500.0,2024-01-20 09:53:03,online,East Karlton,USD,60176,electro,chip,8076,44.0,Female,11,520.29,13080,272.15,4.15.133.10,mobile,7,1
8159,$54.34792829773312,2024-01-28 20:36:08,online,Port Julie,USD,69600,travel,contactless,2847,18.0,Female,14,163.16,15233,,176.131.234.155,tablet,7,0
22756,100.0,2024-01-26 06:51:25,online,Howardton,USD,39626,travel,chip,2302,44.0,Female,11,325.35,3768,18570.26,107.134.2.5,mobile,2,1
26023,1114.6496631031807,2024-01-21 23:39:19,withdrawal,North Jamesfort,usd,62805,electronics,chip,4012,41.0,Female,13,370.78,10796,19602.97,134.205.35.181,TAB,6,0
9540,1000.0,2024-01-16 12:22:48,online,New Ronald,USD,56104,restaurants,chip,3896,38.0,Male,9,150.82,2691,13611.55,133.156.185.51,mobile,3,1
429,10.808325939726267,2024-01-29 02:17:34,online,Jacksonfurt,USD,34192,restaurants,chip,6529,41.0,Male,12,705.99,10827,,71.244.84.195,mobile,2,0
11814,,2024-01-18 05:26:32,online,Joyfurt,USD,95881,electronics,chip,7488,,Male,7,700.65,13083,17004.17,170.202.209.104,mobile,4,0
25443,11409.005787267126,2024-01-19 10:00:56,online,North James,GBP,97106,electro,chip,2519,,Male,6,319.5,5419,,62.57.108.251,mobile,7,0
20800,1500.0,2024-01-28 15:45:53,withdrawal,North Christina,USD,47563,travel,magnetic_stripe,7853,42.0,Male,13,291.58,17915,15336.79,143.131.244.55,mobile,10,1
2541,,2024-01-01 23:09:24,in_store,Daniellestad,GBP,61230,electronics,contactless,2157,,Female,9,626.34,10825,8781.4,122.183.6.52,mobile,6,0
15981,2000.0,2024-01-16 09:00:56,in_store,Rebeccafurt,usd,49910,electronics,contactless,5493,39.0,Male,5,490.62,15550,16530.76,68.229.114.152,mobile,3,1
4297,$249.49590398254773,2024-01-06 19:04:10,online,New Donna,USD,79502,restaurants,contactless,8693,29.0,Male,11,533.1,15759,3770.51,212.43.252.140,mobile,2,0
16672,1697.726788280912,2024-01-22 18:18:18,withdrawal,Matthewfurt,USD,33410,Electronics,chip,9993,33.0,Male,11,387.42,6619,14523.84,192.62.137.205,mobile,2,0
97,305.3780896030912,2024-01-11 20:00:10,in_store,Port James,USD,56925,electronics,chip,6581,,Male,6,430.99,9576,11967.95,216.132.215.184,mobile,4,0
12828,744.0937376060652,2024-01-28 02:44:13,in_store,,GBP,58256,Electronics,contactless,7116,35.0,Male,10,677.73,15682,3467.12,89.185.81.40,mobile,4,0
19950,500.0,2024-01-26 07:13:07,online,North Brent,GBP,96327,restaurants,contactless,9141,52.0,Male,7,315.65,4515,9474.39,38.4.218.183,mobile,5,1
12539,210.21347679312885,2024-01-28 21:10:57,in_store,Rollinston,EUR,55676,electronics,contactless,9511,27.0,Female,13,238.71,19539,18745.71,53.190.144.229,mobile,6,0
16343,489.9897426235251,2024-01-10 11:42:34,in_store,Brownton,EUR,38529,Electronics,contactless,8004,52.0,Male,11,399.07,18573,,171.52.196.238,tablet,2,0
1123,1324.3165375218523,2024-01-25 01:14:11,withdrawal,Seanfurt,USD,93025,restaurants,contactless,6118,47.0,Female,15,371.74,14149,,116.33.116.128,mobile,4,0
22815,500.0,2024-01-21 15:30:19,in_store,,USD,71609,restaurants,contactless,8430,,Female,10,274.47,12988,7911.09,197.213.70.231,desktop,8,1
13313,500.4681976763844,2024-01-27 08:23:32,withdrawal,Port Susanhaven,USD,87589,electronics,chip,8660,40.0,Female,14,123.23,18442,13243.43,220.161.220.32,mobile,2,0
10550,2000.0,2024-01-05 20:32:07,in_store,Scottview,USD,80596,groceries,contactless,1461,31.0,Male,11,538.83,8938,17480.1,206.14.82.47,mobile,2,1
12065,,2024-01-19 13:13:00,online,South Willieton,EUR,10891,electronics,chip,4395,30.0,Female,11,576.42,2773,8935.19,174.147.104.12,mobile,4,1
5554,1147.0240667696296,2024-01-16 11:48:41,in_store,Reedview,USD,33679,restaurants,contactless,7475,26.0,Male,10,258.03,14839,9714.14,124.31.120.156,Phone,8,0
28063,128.3151772595946,2024-01-18 04:59:25,,East Patricktown,USD,40964,electronics,chip,8582,40.0,Male,6,509.12,9394,2896.02,94.9.118.121,desktop,5,0
11404,1006.4371849635911,2024-01-28 05:00:17,in_store,Lake Christyfurt,USD,93423,restaurants,contactless,5354,41.0,Male,9,523.51,13784,4575.35,206.16.5.247,Phone,5,0
5981,,2024-01-26 05:24:45,in_store,Port Catherine,USD,44101,electronics,magnetic_stripe,9276,32.0,Male,13,498.09,12390,3426.76,62.16.251.56,tablet,4,0
18827,,2024-01-07 06:32:03,in_store,Larrymouth,EUR,12970,restaurants,chip,2644,19.0,Female,16,399.59,2956,7730.98,184.136.41.132,mobile,7,1
4111,1585.2098351493357,2024-01-30 02:28:09,online,Tonyaton,USD,77769,restaurants,magnetic_stripe,9324,39.0,Male,10,212.91,14210,18921.99,155.169.62.18,Phone,5,0
1611,259.9565083604478,2024-01-17 04:50:47,online,West Anthonymouth,USD,30567,restaurants,contactless,1596,,Female,9,323.21,13237,7853.78,215.56.117.193,mobile,4,0
6700,527.5501495744394,2024-01-25 06:22:13,online,,USD,34651,restaurants,contactless,1323,,Male,10,228.92,14542,,146.190.246.173,mobile,3,0
7555,332.89599477266444,2024-01-06 08:49:53,online,Anthonymouth,USD,34466,electronics,contactless,5626,47.0,Female,12,419.94,18070,,191.26.249.185,mobile,9,0
17017,1500.0,2024-01-14 15:21:47,in_store,,GBP,60932,travel,contactless,4990,26.0,FEMALE,13,662.35,3073,3287.58,122.199.61.236,mobile,4,1
20210,320.04873522676684,2024-01-26 02:10:26,withdrawal,Loriton,USD,82248,electronics,contactless,4448,43.0,Male,10,237.39,3821,19831.99,35.112.128.60,desktop,8,0
274,,2024-01-04 21:36:37,online,East Debra,gbp,32378,groceries,chip,8709,,Male,3,432.07,15721,12483.53,62.136.151.102,mobile,3,0
352,477.4556280605617,2024-01-05 00:39:46,in_store,Tanyamouth,USD,82764,electronics,contactless,1062,31.0,Female,20,490.41,8690,3467.32,53.88.175.158,mobile,11,0
24329,52.670849804750446,2024-01-11 17:48:10,in_store,Markport,usd,91095,electronics,chip,4994,38.0,M,3,463.21,9010,18611.77,125.207.232.255,mobile,8,0
28065,2759.5305489224534,2024-01-14 12:08:06,online,Francismouth,usd,16810,travel,chip,5358,,Male,9,280.45,11704,7820.97,163.112.246.133,desktop,3,0
13652,198.33837292566952,2024-01-27 12:09:14,in_store,Brianmouth,USD,60488,electronics,contactless,1296,32.0,Male,12,918.08,15199,2349.44,199.176.253.139,tablet,8,0
20917,,2024-01-26 09:21:03,online,,USD,93759,travel,chip,7116,20.0,FEMALE,14,294.41,4417,,119.49.239.231,mobile,5,0
9566,1500.0,2024-01-10 05:34:00,withdrawal,East Tiffanyside,USD,59722,restaurants,chip,4434,43.0,Male,13,568.46,18630,11493.62,95.136.130.168,mobile,2,1
16400,1500.0,2024-01-20 03:01:52,withdrawal,North Grantmouth,GBP,76167,travel,chip,7430,,Male,4,300.79,5031,,78.6.219.20,tablet,4,1
7592,383.7034585005113,2024-01-11 14:33:25,online,Lake Caroline,USD,34061,travel,contactless,3670,44.0,Male,6,456.78,12182,7487.53,162.176.141.210,mobile,5,0
19293,,2024-01-17 07:10:17,in_store,Lake William,USD,32200,electronics,chip,1870,18.0,FEMALE,10,230.27,13568,,200.235.223.210,desktop,7,1
6713,1812.350820584621,2024-01-21 01:00:36,in_store,Lake Crystaltown,EUR,29880,restaurants,magnetic_stripe,7381,46.0,Male,11,505.38,8871,8628.37,125.232.101.72,desktop,4,0
12644,100.0,2024-01-19 01:27:40,online,Robersonview,USD,33129,travel,chip,3690,42.0,Male,11,502.04,17150,10804.54,60.16.255.78,mobile,8,1
4983,5762.911670376457,2024-01-17 11:13:07,online,Vazquezland,USD,65298,electronics,chip,9552,43.0,Female,11,256.86,18616,2609.55,89.108.52.53,desktop,2,0
20680,,2024-01-09 06:02:56,online,Sherryport,gbp,60291,travel,chip,1036,48.0,Female,9,723.85,5809,16571.77,120.183.16.93,desktop,5,1
3024,75.67401231791035,2024-01-03 03:19:03,online,Guzmanfort,USD,95617,electronics,magnetic_stripe,3881,55.0,Male,9,562.33,4434,4289.43,94.195.59.16,desktop,3,0
16012,2000.0,2024-01-07 21:00:03,online,West Chelseamouth,USD,30634,electronics,contactless,7077,19.0,Male,9,644.69,1190,3237.42,155.9.74.165,mobile,9,1
3173,350.9940254450186,2024-01-05 08:20:02,online,,EUR,38503,groceries,contactless,8547,33.0,Male,9,671.38,2123,4786.48,53.129.67.211,mobile,3,0
25864,1534.6427112965405,2024-01-30 18:35:11,in_store,,USD,84082,electronics,chip,9755,63.0,Male,8,480.89,11077,7975.09,125.183.140.7,desktop,4,0
13549,,2024-01-14 19:59:19,online,,GBP,96183,Electronics,contactless,6813,40.0,Male,18,590.57,6529,8611.3,174.81.51.208,mobile,1,0
26520,,2024-01-30 21:30:03,in_store,Suzanneville,USD,55104,travel,contactless,9337,34.0,M,9,605.27,7653,13409.14,60.95.41.185,TAB,10,0
8880,1000.0,2024-01-30 15:59:45,withdrawal,Colehaven,USD,82581,travel,chip,2746,34.0,Female,9,468.88,9881,4896.9,34.8.216.106,mobile,7,1
12671,171.0374941851109,2024-01-23 01:34:37,in_store,Jamesstad,EUR,57941,electro,chip,8131,,Female,9,721.35,13310,17227.72,8.150.152.93,desktop,4,0
25388,,2024-01-13 09:27:13,online,,USD,11527,electro,contactless,3170,,Male,8,361.89,3150,12806.96,190.69.107.248,mobile,5,0
17968,1500.0,2024-01-28 08:31:20,online,Chavezborough,EUR,95354,restaurants,chip,4789,39.0,Male,12,334.71,3297,7263.28,169.232.101.214,desktop,4,1
15839,,2024-01-03 07:26:51,online,Katiehaven,GBP,79709,groceries,chip,1400,46.0,Female,13,350.68,5826,3701.77,187.250.134.203,TAB,2,1
4321,500.0,2024-01-07 05:47:30,online,Adamton,USD,68967,travel,chip,3505,25.0,Female,17,179.2,9849,,207.199.35.129,tablet,5,1
1922,1197.659022689667,2024-01-05 12:52:50,online,Waynefort,USD,10278,travel,contactless,7054,30.0,Male,11,165.61,14652,9144.38,16.138.164.139,mobile,4,0
7977,636.9437714471867,2024-01-24 23:58:51,in_store,Stewartchester,USD,34831,Electronics,chip,4134,52.0,Male,17,365.52,16946,2359.35,184.76.145.151,mobile,7,0
20466,$1132.5203060067183,2024-01-25 21:28:36,in_store,Brownhaven,USD,92179,electronics,contactless,7477,39.0,Male,6,353.53,6051,,202.202.97.245,tablet,4,0
19370,48003.70056548511,2024-01-14 19:40:04,online,Williamsshire,USD,26782,travel,contactless,3070,51.0,FEMALE,19,401.81,3856,,114.124.136.129,mobile,5,0
1407,113.06532999188731,2024-01-11 18:38:16,online,New Cynthialand,EUR,24695,electronics,contactless,6131,20.0,Male,11,577.37,14456,3624.27,219.232.60.60,mobile,10,0
10856,1555.8030750898401,2024-01-21 05:25:50,online,Campbellbury,USD,39360,electronics,chip,7906,41.0,FEMALE,18,468.86,14510,16987.62,199.128.95.66,tablet,4,0
23900,10000.0,2024-01-10 15:44:02,withdrawal,Donaldfort,USD,14648,electro,chip,3699,46.0,Male,16,456.78,1938,6881.86,146.93.210.65,mobile,4,1
27954,2509.704999029506,2024-01-17 14:55:49,in_store,Sarahtown,USD,78552,restaurants,chip,3413,48.0,Male,12,519.26,19049,,183.156.164.58,mobile,4,0
27989,625.8249274923127,2024-01-30 06:35:28,in_store,Lake Johnfort,USD,69900,Electronics,contactless,6695,32.0,Female,9,530.44,12252,13060.76,106.45.38.122,mobile,6,0
25473,918.0481105973281,2024-01-18 10:46:33,,,USD,29606,Electronics,chip,2477,32.0,Female,5,804.65,19362,,74.35.141.156,mobile,7,0
11379,,2024-01-01 21:39:46,online,Port David,usd,19574,groceries,chip,2403,35.0,Male,10,416.69,11108,10165.46,31.26.73.66,mobile,4,0
5976,1500.0,2024-01-11 00:43:55,online,Port Peterton,USD,99346,travel,chip,7821,19.0,Male,17,457.81,18926,19562.7,175.206.107.238,mobile,4,1
13154,386.6290769264182,2024-01-04 19:33:10,online,Gentryview,USD,76091,travel,contactless,5308,49.0,Male,10,267.24,16954,6418.79,183.204.194.68,desktop,2,0
580,1000.0,2024-01-13 19:01:33,in_store,East Jasonmouth,USD,11251,Electronics,chip,8580,40.0,Female,10,552.6,2489,4602.57,154.56.132.187,mobile,8,1
9518,1257.0079398960022,2024-01-04 02:46:37,in_store,,USD,95161,electronics,contactless,6466,20.0,Male,13,253.55,17026,9405.33,144.246.146.142,mobile,5,0
11166,100.0,2024-01-05 21:18:44,in_store,Grayfort,gbp,81369,travel,contactless,4581,,Male,9,271.56,15738,18509.76,39.38.236.29,tablet,4,1
627,500.0,2024-01-19 06:14:46,withdrawal,East Kristen,EUR,95262,electronics,chip,4147,22.0,Male,9,344.8,7638,3353.23,20.255.38.120,mobile,5,1
26227,1135.1347443767668,2024-01-09 04:51:45,in_store,North Ricky,USD,41213,travel,magnetic_stripe,6984,36.0,Male,8,325.87,17314,6454.23,145.120.92.216,mobile,7,0
7887,,2024-01-20 23:35:50,in_store,Timothymouth,GBP,38231,electronics,contactless,2965,20.0,Male,10,316.05,9224,19842.88,190.6.204.49,desktop,7,0
9595,1879.465063632906,2024-01-22 11:18:41,,West Paula,USD,45046,restaurants,magnetic_stripe,5288,41.0,Male,13,427.7,18367,9332.18,202.19.241.210,desktop,4,0
8408,500.0,2024-01-17 13:02:03,in_store,Garciatown,USD,56649,electronics,contactless,8886,24.0,Male,7,405.81,2146,12048.26,110.79.163.76,mobile,3,1
26650,2000.0,2024-01-14 17:18:03,online,Christopherview,USD,28698,restaurants,chip,3128,48.0,FEMALE,11,283.61,11264,14558.14,118.144.36.148,mobile,2,1
24736,,2024-01-29 11:33:19,online,Port Helen,USD,38799,groceries,chip,7861,34.0,Female,10,559.46,17710,8635.02,123.188.208.231,mobile,4,0
17134,459.6089616190219,2024-01-14 05:12:14,online,Robertoberg,USD,72055,electronics,chip,2990,33.0,Male,8,615.61,17311,11953.06,21.75.121.175,mobile,5,0
8961,500.0,2024-01-29 04:07:03,online,North Jamesville,USD,22856,Electronics,contactless,7554,18.0,Male,9,508.76,10705,11887.49,125.191.241.109,desktop,6,1
19850,641.8938602013479,2024-01-20 00:29:24,online,Freemanside,EUR,94580,electronics,chip,3641,43.0,Male,10,350.58,7096,6771.76,195.215.238.116,desktop,5,0
27608,,2024-01-07 10:56:33,online,Westbury,USD,30281,electronics,chip,3237,41.0,Male,11,848.7,2478,5165.5,123.242.82.132,mobile,4,1
25619,,2024-01-23 14:04:48,online,East Alexander,USD,79536,electronics,contactless,4616,22.0,Female,6,651.56,9942,19883.8,187.5.218.168,mobile,3,0
18842,1289.1762592607997,2024-01-25 09:31:34,online,Harrisborough,gbp,33958,electronics,chip,4083,33.0,Female,8,204.04,10752,6655.65,33.22.31.114,desktop,6,0
16369,2000.0,2024-01-04 04:02:31,online,Dianefurt,USD,37634,electronics,contactless,4624,45.0,Male,4,281.39,3540,14445.13,98.74.214.92,mobile,5,1
26719,104.22697430833756,2024-01-30 12:21:33,online,Kellerton,GBP,51811,electro,chip,1388,39.0,Male,4,365.0,17312,14578.09,46.46.90.114,mobile,2,0
23856,1136.0675143995438,2024-01-20 12:55:14,online,Saraport,USD,43123,electro,contactless,7371,38.0,Female,8,629.28,19797,,64.185.212.214,mobile,7,0
13680,1000.0,2024-01-05 05:59:36,online,West Michael,gbp,22925,electronics,chip,8035,18.0,Female,10,293.95,1680,16073.15,158.216.13.189,mobile,8,1
23739,238.49002076001028,2024-01-19 05:56:48,in_store,Emilyborough,USD,11520,electronics,contactless,8262,27.0,M,11,462.12,11551,2202.72,35.245.176.36,TAB,7,0
22049,409.6623493425597,2024-01-09 02:44:31,in_store,Port Colinville,USD,36553,groceries,chip,1594,18.0,Male,12,885.22,17446,18871.74,64.9.50.86,mobile,5,0
26618,2000.0,2024-01-01 17:48:05,,Lake Andrew,US,10811,restaurants,chip,9936,48.0,Female,11,313.46,6548,6403.13,148.22.228.189,desktop,5,1
2623,100.0,2024-01-29 08:01:16,online,Georgeburgh,USD,66780,travel,contactless,4156,32.0,Female,9,483.33,1540,10208.25,23.15.15.193,desktop,4,1
18544,289.81957461084716,2024-01-28 13:37:46,online,Masonfurt,gbp,54861,electronics,contactless,3466,33.0,Male,18,329.73,19140,18164.16,23.121.208.32,TAB,6,0
28218,1000.0,2024-01-15 05:36:54,online,Brucemouth,US,21136,travel,contactless,1452,44.0,Female,8,231.62,3468,6116.49,207.225.98.193,mobile,6,1
4274,100.0,2024-01-27 03:16:47,online,Alexanderville,USD,54739,electronics,chip,2911,48.0,Female,9,356.74,10462,,96.57.230.46,mobile,5,1
27424,2551.881998330103,2024-01-06 00:32:26,in_store,Evansmouth,USD,22997,electronics,chip,8656,42.0,Female,7,438.71,8437,2316.04,219.244.139.250,mobile,6,0
12052,,2024-01-07 12:21:11,,East Thomasview,EUR,10749,Electronics,magnetic_stripe,1086,,Female,11,369.71,7309,16150.12,184.112.230.5,mobile,3,1
24853,55.86410639016417,2024-01-03 08:39:52,withdrawal,West William,USD,56003,groceries,chip,2716,37.0,Male,8,610.97,5548,11285.62,5.216.55.146,desktop,4,0
19077,1834.5587647046225,2024-01-17 02:47:02,in_store,Michaelchester,USD,92926,restaurants,contactless,8759,39.0,Female,9,417.66,10899,9358.65,45.229.56.108,mobile,6,0
4392,,2024-01-26 14:23:12,online,,EUR,42451,groceries,chip,5670,,Male,7,777.23,16695,18687.77,171.46.117.115,mobile,5,0
2222,1000.0,2024-01-14 02:43:29,online,New Christine,EUR,99284,travel,chip,4746,29.0,Male,9,543.83,14768,16377.26,213.225.32.119,mobile,5,1
844,2000.0,2024-01-14 04:13:21,in_store,Barbarafort,USD,32243,electronics,chip,1308,18.0,Male,11,636.75,1867,7476.09,192.249.15.228,desktop,4,1
13941,,2024-01-15 22:07:19,online,Cynthiafort,USD,87662,Electronics,magnetic_stripe,7397,,Male,12,451.78,19414,7955.73,164.83.204.206,TAB,2,1
10804,2000.0,2024-01-15 03:12:20,online,North Laura,USD,94909,electronics,chip,2574,30.0,Female,11,425.86,1463,11254.82,166.99.158.219,tablet,3,1
26393,,2024-01-09 15:51:29,in_store,Derekshire,GBP,96767,travel,chip,4231,31.0,Male,14,1644.93,10781,4945.96,107.152.102.21,tablet,2,0
1838,,2024-01-06 16:12:18,withdrawal,Whiteton,USD,41289,electronics,contactless,8090,33.0,Male,6,315.09,2077,19484.32,212.70.195.212,mobile,5,1
8619,864.6493640680502,2024-01-06 22:29:00,in_store,Frankshire,GBP,62935,travel,contactless,4180,37.0,Male,9,1219.83,11313,18018.56,132.50.41.25,mobile,2,0
16688,100.0,2024-01-01 20:13:11,in_store,West Aliciaberg,USD,27967,travel,chip,6445,48.0,FEMALE,12,206.81,14739,,83.221.207.144,mobile,3,1
